78,0
98,1
118,2
138,3
158,4
178,5
198,6
218,7
238,8
258,9
278,10
298,11
318,12
338,13
358,14
378,15
398,16
418,17
438,18
458,19
478,20
498,21
518,22
538,23
558,24
578,25
598,26
618,27
638,28
658,29
678,30
698,31
718,32
738,33
758,34
778,35
798,36
818,37
838,38
858,39
878,40
898,41
918,42
938,43
958,44
978,45
998,46
1018,47
1038,48
1058,49
1078,50
1098,51
1118,52
1138,53
1158,54
1178,55
1198,56
1218,57
1238,58
1258,59
1278,60
1298,61
1318,62
1338,63
1358,64
1378,65
1398,66
1418,67
1438,68
1458,69
1478,70
1498,71
1518,72
1538,73
1558,74
1578,75
1598,76
1618,77
1638,78
1658,79
1678,80
1698,81
1718,82
1738,83
1758,84
1778,85
1798,86
1818,87
1838,88
1858,89
1878,90
1898,91
1918,92
1938,93
1958,94
1978,95
1998,96
2018,97
2038,98
2058,99
2078,100
2098,101
2118,102
2138,103
2158,104
2178,105
2198,106
2218,107
2238,108
2248,109
2258,110
2268,111
2278,112
2288,113
2298,114
2308,115
2318,116
2328,117
2338,118
2348,119
2358,120
2368,121
2378,122
2383,123
2388,124
2393,125
2398,126
2400,127
2402,128
